ALUMNO ID,GRUPO,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15
38,4.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,4.4,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
40,4.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,4.4,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
42,4.4,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
43,4.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,4.4,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
46,4.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,4.4,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
48,4.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
